arm,stake,seed,avg_quality_gap,avg_toxicity,total_welfare,accepted_interactions,gate_checks,gate_blocks,gate_blocks_low_quality,gate_blocks_honest,agents_below_bar,agents_below_bar_low_quality,spread_basis,mean_basis_deceptive,mean_basis_honest,mean_basis_opportunistic
control,100.0,45,0.05808243103252392,0.3600853826274518,94.82604765162637,173,2000,740,190,550,4,1,1.0,99.5,99.4,100.0
control,100.0,46,0.014121249246218517,0.3491578897717257,90.36916414429777,147,2000,1120,560,560,6,3,7.0,96.5,99.2,97.66666666666667
payoff_res,95.0,42,0.06224752143941894,0.33746531444014277,161.42888585528968,238,2000,0,0,0,0,0,57.346159318960886,103.9563175886403,127.13215600083075,104.28515689128503
payoff_res,95.0,43,0.042235095325759565,0.3240895847675912,180.73878216057992,246,2000,0,0,0,0,0,54.528672404630925,105.08570061677821,128.24418831540748,108.44881311666207
payoff_res,95.0,44,0.03777538805130125,0.340636080373475,170.51087107425758,253,2000,0,0,0,0,0,56.616015757684494,104.55248803792315,128.5177209604961,105.60576339864366
payoff_res,95.0,45,0.03527794313349345,0.3252652398866608,182.0374284635193,239,2000,0,0,0,0,0,60.73972788061671,103.52647361025254,129.53473005004292,107.77027699759985
payoff_res,95.0,46,0.0372310008852474,0.3345559059283809,174.81369403815415,253,2000,5,5,0,1,1,78.30186081296301,103.06057504804474,133.0553315688468,99.80529536594356
payoff_res,99.0,42,0.00445771859924376,0.307701954592591,128.9759044781751,154,2000,567,391,176,3,3,48.32834881782209,98.40212715707236,115.92384999301602,103.18413339965005
payoff_res,99.0,43,0.03315320053223686,0.3175230813880668,172.2400469292829,221,2000,83,83,0,0,0,52.058431275633964,103.44389296674723,127.42929519163809,108.06859501253267
payoff_res,99.0,44,0.02671683069738498,0.3388850618721714,168.68167169664846,251,2000,19,19,0,1,1,58.46367181852678,103.7994858535969,128.57240038584433,105.40689935341103
payoff_res,99.0,45,0.04443019005740913,0.2997383110847053,156.97560632127824,177,2000,282,282,0,2,2,59.13379406109131,101.50776732148569,126.98596104983285,104.34342214304755
payoff_res,99.0,46,0.027013226705360622,0.32446247394864675,172.60845628048054,224,2000,136,136,0,0,0,71.44712458835167,102.57283218490619,131.56024573467815,101.88718774575914
payoff_res,100.0,42,0.006742293417453443,0.31140938164621096,132.64911833193864,171,2000,784,594,190,4,3,49.32149296909979,97.75818983741377,121.33576580236918,103.15130321508843
payoff_res,100.0,43,0.0,0.25658358192600994,52.040431588796665,48,2000,1312,772,540,7,4,43.70400027136493,90.5766112088859,99.05269850599232,93.54123888035444
payoff_res,100.0,44,0.025684583313221366,0.3166336818544892,153.0701505005507,191,2000,418,408,10,3,3,57.17513991760708,100.83664035602072,126.78353536186987,103.82639765971996
payoff_res,100.0,45,0.0412912911685994,0.3281899932905973,113.95344545074617,152,2000,707,347,360,3,1,48.146851243181885,100.8829678227927,119.12598760623369,102.18585725799747
payoff_res,100.0,46,0.07505132864289546,0.3031710300244371,163.36521910641045,186,2000,399,391,8,2,2,62.049455920211756,99.06473006744963,123.85899708594265,104.64692451393267
cum_payoff,95.0,42,0.06224752143941894,0.33746531444014277,161.42888585528968,238,2000,0,0,0,0,0,57.346159318961014,104.45631758864032,127.73215600083078,104.61849022461838
cum_payoff,95.0,43,0.042235095325759565,0.3240895847675912,180.9387821605799,246,2000,0,0,0,0,0,54.52867240463097,105.58570061677821,128.85418831540747,108.49881311666205
cum_payoff,95.0,44,0.03777538805130125,0.340636080373475,170.51087107425758,253,2000,0,0,0,0,0,56.61601575768438,105.05248803792315,128.71772096049608,105.60576339864363
cum_payoff,95.0,45,0.03527794313349345,0.3252652398866608,182.23742846351928,239,2000,0,0,0,0,0,60.78972788061674,104.02647361025254,130.14473005004294,107.82027699759986
cum_payoff,95.0,46,0.0372310008852474,0.3345559059283809,174.81369403815415,253,2000,5,5,0,1,1,78.30186081296287,103.56057504804471,133.4553315688468,100.13862869927692
cum_payoff,99.0,42,0.014117802021215414,0.31042615722487577,145.29973493093235,178,2000,312,312,0,1,1,57.21478620957056,101.68669303142833,126.80148192951437,102.63964640683461
cum_payoff,99.0,43,0.03315320053223686,0.3175230813880668,172.2400469292829,221,2000,83,83,0,0,0,52.058431275633964,103.94389296674721,128.0292951916381,108.06859501253265
cum_payoff,99.0,44,0.02671683069738498,0.3388850618721714,168.68167169664846,251,2000,19,19,0,1,1,58.463671818526734,104.29948585359692,128.77240038584432,105.406899353411
cum_payoff,99.0,45,0.04443019005740913,0.2997383110847053,156.97560632127824,177,2000,282,282,0,2,2,59.13379406109121,102.00776732148569,127.98596104983284,104.34342214304756
cum_payoff,99.0,46,0.04917369252644635,0.3249087102562743,164.1689685626184,221,2000,135,135,0,1,1,71.78061319484394,103.805689631852,131.43778155272815,99.78956051175788
cum_payoff,100.0,42,0.02022646019888264,0.32256388451364265,164.7529374958795,222,2000,150,150,0,0,0,55.547772006533776,102.92701951249043,128.5464891680967,105.38881754347169
cum_payoff,100.0,43,0.02290444010726133,0.3104660480118871,148.7782910480664,186,2000,242,242,0,1,1,39.40999201654927,103.20956768898174,122.68601021199376,109.64303487004472
cum_payoff,100.0,44,0.022334588850037272,0.317492046694499,155.92705614219295,199,2000,229,229,0,2,2,57.700934997448414,102.6217351884913,128.05139155392294,103.47554266519852
cum_payoff,100.0,45,0.031523862435945516,0.3240414528059606,180.22839251556516,231,2000,27,27,0,0,0,56.597069576026755,103.66108528350571,129.40720094388578,108.62340574304162
cum_payoff,100.0,46,0.008368379057498477,0.31458600681813087,167.31741818669514,207,2000,203,203,0,0,0,70.97148423190544,102.51762246723543,131.6386743398865,101.3629338509306
